iter	Passed	Remaining
0	156	156289
1	160	79976
2	163	54239
3	166	41403
4	169	33712
5	172	28613
6	175	24920
7	178	22123
8	181	20033
9	184	18305
10	187	16869
11	190	15671
12	193	14658
13	196	13836
14	199	13090
15	202	12432
16	204	11850
17	207	11343
18	210	10894
19	213	10484
20	216	10104
21	219	9758
22	222	9452
23	224	9131
24	226	8836
25	228	8555
26	230	8293
27	231	8035
28	233	7807
29	234	7583
30	235	7374
31	237	7184
32	238	6997
33	239	6815
34	241	6644
35	242	6483
36	243	6330
37	244	6186
38	245	6050
39	246	5919
40	247	5795
41	248	5676
42	249	5561
43	251	5455
44	252	5351
45	253	5255
46	254	5159
47	255	5068
48	256	4979
49	257	4895
50	258	4813
51	259	4735
52	260	4659
53	261	4586
54	262	4516
55	263	4450
56	265	4385
57	266	4322
58	267	4262
59	268	4202
60	269	4145
61	270	4090
62	271	4036
63	272	3983
64	273	3933
65	274	3883
66	275	3835
67	275	3782
68	276	3737
69	277	3693
70	278	3650
71	280	3608
72	280	3568
73	281	3528
74	283	3490
75	284	3452
76	284	3416
77	285	3379
78	286	3345
79	287	3311
80	288	3278
81	289	3245
82	290	3213
83	291	3181
84	292	3148
85	293	3118
86	294	3086
87	295	3058
88	295	3029
89	296	3001
90	297	2973
91	298	2946
92	299	2919
93	300	2892
94	300	2866
95	306	2888
96	314	2926
97	317	2918
98	318	2903
99	320	2888
100	322	2874
101	324	2854
102	326	2846
103	328	2830
104	330	2815
105	331	2799
106	333	2783
107	334	2766
108	336	2754
109	339	2745
110	341	2731
111	342	2713
112	343	2700
113	346	2696
114	348	2678
115	348	2658
116	349	2641
117	350	2622
118	351	2601
119	352	2583
120	353	2564
121	354	2550
122	355	2533
123	356	2516
124	357	2499
125	362	2517
126	369	2541
127	371	2530
128	374	2526
129	376	2517
130	378	2508
131	380	2502
132	382	2494
133	384	2485
134	387	2479
135	388	2469
136	390	2460
137	393	2456
138	394	2445
139	396	2433
140	397	2421
141	398	2408
142	399	2395
143	400	2381
144	401	2368
145	402	2355
146	403	2342
147	404	2329
148	405	2316
149	406	2303
150	407	2290
151	408	2276
152	408	2263
153	409	2251
154	410	2238
155	411	2227
156	412	2215
157	414	2206
158	421	2227
159	426	2239
160	429	2239
161	431	2234
162	434	2230
163	437	2228
164	438	2220
165	440	2211
166	441	2203
167	443	2195
168	445	2188
169	446	2179
170	447	2170
171	448	2161
172	450	2152
173	451	2143
174	453	2135
175	454	2126
176	455	2117
177	456	2108
178	458	2101
179	459	2091
180	459	2080
181	460	2071
182	462	2063
183	463	2055
184	464	2046
185	465	2037
186	466	2028
187	467	2018
188	468	2009
189	470	2004
190	477	2022
191	482	2032
192	485	2031
193	488	2028
194	490	2024
195	492	2021
196	494	2014
197	495	2007
198	497	2001
199	498	1994
200	500	1988
201	501	1981
202	503	1974
203	504	1968
204	505	1961
205	507	1957
206	509	1951
207	510	1944
208	512	1938
209	513	1931
210	514	1923
211	515	1915
212	516	1907
213	517	1900
214	518	1891
215	518	1883
216	519	1875
217	520	1867
218	521	1859
219	522	1852
220	523	1844
221	523	1836
222	524	1828
223	528	1829
224	534	1841
225	539	1846
226	541	1845
227	543	1841
228	545	1837
229	548	1834
230	550	1831
231	551	1827
232	553	1822
233	555	1817
234	557	1813
235	558	1807
236	559	1802
237	561	1796
238	562	1791
239	563	1785
240	565	1779
241	566	1773
242	567	1767
243	568	1760
244	569	1754
245	570	1748
246	571	1742
247	572	1736
248	573	1730
249	574	1723
250	575	1717
251	576	1711
252	577	1706
253	579	1700
254	580	1695
255	581	1688
256	587	1698
257	595	1711
258	598	1713
259	601	1710
260	603	1708
261	605	1704
262	607	1703
263	609	1700
264	612	1697
265	614	1694
266	615	1689
267	616	1683
268	617	1679
269	619	1674
270	620	1669
271	622	1664
272	623	1659
273	624	1654
274	625	1649
275	626	1644
276	628	1639
277	629	1634
278	630	1629
279	631	1624
280	632	1619
281	633	1613
282	634	1608
283	635	1602
284	636	1597
285	637	1592
286	639	1587
287	640	1582
288	640	1576
289	641	1571
290	642	1565
291	643	1561
292	644	1556
293	645	1550
294	646	1545
295	647	1539
296	647	1533
297	648	1528
298	649	1522
299	650	1517
300	656	1525
301	662	1531
302	665	1531
303	668	1531
304	671	1529
305	673	1526
306	675	1524
307	677	1521
308	678	1517
309	680	1513
310	681	1510
311	683	1507
312	685	1504
313	686	1500
314	688	1496
315	689	1493
316	691	1489
317	692	1485
318	693	1481
319	695	1477
320	696	1473
321	697	1469
322	698	1464
323	699	1459
324	700	1455
325	701	1450
326	702	1445
327	703	1440
328	703	1435
329	704	1430
330	705	1425
331	706	1420
332	706	1415
333	707	1411
334	708	1406
335	709	1401
336	712	1402
337	719	1409
338	723	1410
339	726	1409
340	728	1407
341	730	1404
342	732	1402
343	733	1399
344	735	1395
345	736	1392
346	737	1388
347	739	1385
348	740	1382
349	742	1378
350	743	1373
351	744	1370
352	745	1365
353	746	1362
354	747	1358
355	748	1354
356	749	1350
357	750	1345
358	751	1341
359	752	1337
360	753	1333
361	754	1329
362	755	1325
363	756	1321
364	757	1317
365	758	1313
366	758	1309
367	759	1304
368	760	1300
369	761	1296
370	762	1292
371	762	1287
372	763	1283
373	764	1279
374	765	1275
375	769	1276
376	776	1283
377	780	1283
378	782	1281
379	784	1279
380	786	1277
381	788	1274
382	790	1273
383	791	1270
384	793	1266
385	794	1263
386	795	1260
387	797	1257
388	798	1254
389	800	1251
390	801	1247
391	802	1244
392	803	1241
393	804	1238
394	806	1234
395	807	1230
396	808	1227
397	808	1223
398	809	1219
399	811	1216
400	812	1213
401	813	1209
402	814	1206
403	817	1206
404	824	1210
405	829	1214
406	832	1212
407	834	1210
408	836	1208
409	838	1206
410	839	1203
411	841	1200
412	842	1197
413	844	1195
414	846	1192
415	847	1189
416	848	1186
417	849	1183
418	850	1179
419	852	1176
420	853	1173
421	854	1170
422	855	1166
423	857	1164
424	858	1161
425	859	1157
426	860	1154
427	861	1150
428	862	1147
429	863	1144
430	864	1140
431	865	1137
432	866	1134
433	877	1144
434	882	1145
435	886	1147
436	891	1148
437	893	1146
438	895	1144
439	897	1142
440	899	1139
441	908	1146
442	909	1142
443	910	1139
444	911	1136
445	912	1132
446	913	1129
447	914	1126
448	916	1124
449	917	1121
450	918	1118
451	919	1114
452	920	1111
453	921	1108
454	922	1105
455	923	1101
456	924	1098
457	929	1100
458	936	1104
459	939	1102
460	941	1100
461	943	1098
462	945	1096
463	947	1094
464	949	1092
465	951	1089
466	952	1087
467	953	1084
468	955	1081
469	956	1078
470	957	1075
471	958	1072
472	959	1069
473	961	1066
474	962	1063
475	963	1060
476	964	1057
477	965	1054
478	966	1051
479	967	1048
480	968	1045
481	969	1041
482	970	1038
483	971	1035
484	972	1032
485	973	1029
486	974	1026
487	974	1022
488	976	1020
489	977	1017
490	978	1013
491	978	1010
492	979	1007
